,02E,02S,02W,02N,08E,08S,08W,08N,14E,14S,14W,14N,20E,20S,20W,20N
2981,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1
2982,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
2983,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1
2984,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
2985,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1
2986,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
2987,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,1
2988,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0
2989,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1
2990,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1
2991,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1
2992,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1
2993,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
2994,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
2995,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
2996,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
2997,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0
2998,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
2999,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3000,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3001,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1
3002,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1
3003,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1
3004,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1
3005,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
3006,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
3007,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3008,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
3009,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
3010,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
3011,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1
3012,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0
3013,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0
3014,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0
3015,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,0
3016,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1
3017,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1
3018,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1
3019,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1
3020,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1
3021,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1
3022,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1
3023,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1
3024,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1
3025,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0
3026,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0
3027,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0
3028,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0
3029,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1
3030,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,1
3031,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1
3032,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0
3033,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1
3034,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1
3035,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,1
3036,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1
3037,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1
3038,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1
3039,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0
3040,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
3041,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
3042,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
3043,1,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0
3044,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
3045,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
3046,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1
3047,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0
3048,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1
3049,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1
3050,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1
3051,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0
3052,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
3053,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0
3054,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0
3055,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,1
3056,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
3057,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1
3058,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
3059,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1
3060,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1
3061,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1
3062,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0
3063,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1
3064,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
3065,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
3066,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
3067,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1
3068,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0
3069,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1
3070,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1
3071,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,1
3072,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0
3073,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1
3074,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0
3075,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1
3076,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
3077,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
3078,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
3079,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
3080,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1
3081,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1
3082,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
3083,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3084,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0
3085,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
3086,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1
3087,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
3088,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0
3089,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0
3090,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1
3091,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1
3092,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
