,区县id,站名id,年份,月份,日期,日照时数（单位：h),日平均风速(单位：m/s),日降水量（mm）,日最高温度（单位：℃）,日最低温度（单位：℃）,日平均温度（单位：℃）,日相对湿度（单位：%）,日平均气压（单位：hPa）
2981,county14,1,2015,3,1,0.8,2.0,2.0,11.2,5.1,8.0,68.0,1002.9
2982,county14,1,2015,3,2,0.0,0.7,0.7,9.4,7.1,8.0,90.0,992.9
2983,county14,1,2015,3,3,0.0,0.8,0.8,12.7,8.1,9.9,90.0,993.3
2984,county14,1,2015,3,4,0.0,1.3,1.3,11.5,6.8,8.7,88.0,993.3
2985,county14,1,2015,3,5,0.0,1.7,1.7,8.7,7.1,7.5,85.0,995.6
2986,county14,1,2015,3,6,0.0,2.3,2.3,8.8,5.7,7.0,78.0,998.1
2987,county14,1,2015,3,7,0.0,0.6,0.6,10.1,6.7,8.1,87.0,995.5
2988,county14,1,2015,3,8,0.0,0.9,0.9,13.8,8.1,9.8,91.0,995.1
2989,county14,1,2015,3,9,0.0,1.4,1.4,15.7,10.5,12.6,80.0,997.8
2990,county14,1,2015,3,10,0.0,1.4,1.4,13.8,10.1,11.4,84.0,1000.2
2991,county14,1,2015,3,11,0.0,1.7,1.7,11.1,8.7,9.7,84.0,1001.5
2992,county14,1,2015,3,12,5.9,1.4,1.4,18.0,7.8,11.8,82.0,998.2
2993,county14,1,2015,3,13,0.0,0.7,0.7,15.0,12.6,13.8,93.0,993.1
2994,county14,1,2015,3,14,0.0,0.7,0.7,16.6,13.8,15.0,97.0,992.7
2995,county14,1,2015,3,15,0.0,1.4,1.4,15.8,14.3,15.0,94.0,991.2
2996,county14,1,2015,3,16,0.0,0.2,0.2,15.8,13.4,14.6,93.0,990.5
2997,county14,1,2015,3,17,0.0,1.7,1.7,27.3,14.7,20.0,86.0,983.0
2998,county14,1,2015,3,18,4.3,1.9,1.9,30.9,19.2,22.4,80.0,983.0
2999,county14,1,2015,3,19,0.0,2.4,2.4,21.5,15.8,18.1,75.0,988.3
3000,county14,1,2015,3,20,0.0,3.0,3.0,18.5,13.9,14.6,76.0,994.9
3001,county14,1,2015,3,21,6.5,1.4,1.4,23.6,12.6,16.3,76.0,997.5
3002,county14,1,2015,3,22,0.0,0.8,0.8,22.8,13.8,17.2,81.0,994.0
3003,county14,1,2015,3,23,0.0,2.0,2.0,19.8,15.0,17.0,87.0,996.8
3004,county14,1,2015,3,24,0.0,0.9,0.9,17.5,13.0,14.5,92.0,1001.2
3005,county14,1,2015,3,25,0.0,0.8,0.8,17.7,12.0,14.2,88.0,1001.5
3006,county14,1,2015,3,26,0.0,0.4,0.4,19.4,14.3,16.2,89.0,1000.2
3007,county14,1,2015,3,27,0.0,2.0,2.0,17.7,15.0,16.2,89.0,999.8
3008,county14,1,2015,3,28,0.0,0.6,0.6,19.2,14.6,16.7,88.0,994.9
3009,county14,1,2015,3,29,0.0,0.5,0.5,21.7,16.8,18.3,96.0,989.9
3010,county14,1,2015,3,30,0.0,0.9,0.9,24.6,18.4,20.9,91.0,987.0
3011,county14,1,2015,3,31,2.7,1.8,1.8,27.7,20.6,24.3,78.0,983.9
3012,county14,1,2015,4,1,0.0,2.5,2.5,28.2,24.6,26.4,68.0,981.1
3013,county14,1,2015,4,2,8.4,2.1,2.1,32.5,23.9,28.0,64.0,977.4
3014,county14,1,2015,4,3,9.0,2.2,2.2,34.5,21.8,27.7,69.0,976.0
3015,county14,1,2015,4,4,6.9,2.2,2.2,33.6,25.4,29.0,60.0,978.6
3016,county14,1,2015,4,5,4.8,2.4,2.4,32.8,16.9,25.6,68.0,984.1
3017,county14,1,2015,4,6,0.0,2.7,2.7,16.9,14.6,15.6,78.0,991.4
3018,county14,1,2015,4,7,0.0,3.1,3.1,15.6,12.1,12.7,81.0,998.0
3019,county14,1,2015,4,8,0.0,1.7,1.7,12.4,9.1,11.0,78.0,1000.2
3020,county14,1,2015,4,9,0.0,1.8,1.8,15.1,9.6,11.6,83.0,997.6
3021,county14,1,2015,4,10,4.3,1.0,1.0,21.0,10.9,14.2,78.0,997.6
3022,county14,1,2015,4,11,0.6,1.8,1.8,19.5,10.0,14.0,81.0,997.9
3023,county14,1,2015,4,12,8.6,1.9,1.9,27.6,9.2,16.2,71.0,999.2
3024,county14,1,2015,4,13,9.4,1.2,1.2,28.0,9.2,16.9,70.0,997.7
3025,county14,1,2015,4,14,10.1,1.8,1.8,29.5,10.2,18.7,66.0,993.7
3026,county14,1,2015,4,15,7.9,1.3,1.3,28.5,15.7,21.0,69.0,988.9
3027,county14,1,2015,4,16,10.0,1.6,1.6,32.3,14.6,21.8,74.0,989.6
3028,county14,1,2015,4,17,6.2,1.7,1.7,28.3,16.1,22.0,75.0,983.5
3029,county14,1,2015,4,18,0.0,1.2,1.2,25.7,21.4,23.4,80.0,980.5
3030,county14,1,2015,4,19,7.0,1.4,1.4,34.3,20.9,24.2,83.0,980.9
